id,name,ra,dec,mag,dist_ly,spect,con
14319,HD 19210,3.086471,-8.274247,6.30,458.1,K0,Eri
15153,HR 975,3.263095,32.856712,6.30,178.7,F4Vwvar,Per
15192,HD 20356,3.272701,-5.730464,6.30,1496.1,K5,Eri
17991,HR 1194,3.854408,13.046078,6.30,401.7,B9p Si,Tau
22554,HD 30869,4.863885,13.655155,6.30,132.8,F5,Ori
23500,HR 1651,5.064986,-41.74495,6.30,103.5,F8V,Cae
25227,HR 1775,5.410674,31.223912,6.30,626.0,K1III...,Aur
25423,HR 1817,5.451323,-11.900964,6.30,88.2,F7V:,Lep
27251,HR 1979,5.787412,42.526748,6.30,587.7,K0,Aur
27833,HR 2051,5.904377,3.225641,6.30,458.1,K0,Ori
30144,HR 2280,6.357158,2.268522,6.30,301.2,A4.5V,Mon
30279,HR 2337,6.383741,-63.683136,6.30,1101.9,M1III,Pic
30432,HR 2323,6.41236,-40.283979,6.30,540.9,B9V,Col
30491,HR 2308,6.424493,14.721992,6.30,,C5II,Ori
31128,HR 2392,6.546354,-11.166381,6.30,402.2,K0III:...,CMa
32123,HR 2488,6.723154,-39.193118,6.30,441.9,A8:+...,Pup
32903,HR 2552,6.873017,-5.316277,6.30,460.0,K0,Mon
32995,HR 2555,6.889556,10.99665,6.30,384.6,K0III,Mon
35147,HR 2768,7.28256,-30.897012,6.30,431.4,A9II,CMa
35919,HR 2709,7.422769,81.257456,6.30,860.6,A0III,Cam
37979,HR 3056,7.805417,-56.471075,6.30,,K0III+...,Car
38296,HR 3061,7.868664,3.277342,6.30,505.7,M5,CMi
38963,HR 3152,7.994469,-60.207351,6.30,1062.4,B8III,Car
39069,HR 3125,8.013362,19.816216,6.30,393.0,K1III,Cnc
41288,φ Cnc,8.446408,26.935489,6.30,275.7,A3V+...,Cnc
41619,HR 3371,8.510898,-44.73732,6.30,1976.7,B4V,Vel
43999,HR 3577,8.986314,18.134867,6.30,613.1,M4IIIvar,Cnc
45290,HR 3581,9.255905,84.181013,6.30,308.6,F2III,Cam
45722,HR 3714,9.348749,-15.617826,6.30,162.4,F6V,Hya
45917,HR 3740,9.390924,-60.302314,6.30,2160.0,K1/K2II/III,Car
46036,HR 3725,9.415463,51.573896,6.30,421.4,G2III,UMa
48576,HR 3944,9.936042,-71.3893,6.30,2013.3,B1Ib,Car
49181,HR 3963,10.067448,-18.101406,6.30,508.8,B8V,Hya
54528,HR 4341,11.195488,14.400153,6.30,183.2,A5V,Leo
54905,HR 4370,11.274405,-45.880012,6.30,169.6,F3V,Cen
55968,HR 4430,11.506896,46.657533,6.30,851.6,K2IIICN-1,UMa
56463,HR 4470,11.611313,-37.237187,6.30,412.9,A1V,Cen
58726,HD 104900,12.079242,-59.253287,6.30,346.6,B9Vn,Cru
58827,HR 4611,12.098229,-65.546879,6.30,,B8Ia-Iab,Mus
60621,HR 4742,12.463735,-16.631844,6.30,829.9,G5II,Crv
66680,HR 5160,13.708006,41.674282,6.30,911.1,G6III,CVn
68486,HR 5272,14.064747,-22.421602,6.30,278.8,F3IV,Vir
71520,HR 5461,14.675768,-56.440761,6.30,1136.4,K0/K1II,Cen
72112,HR 5509,14.79225,-43.556806,6.30,755.0,K1III,Lup
72545,HR 5542,14.87587,-30.577253,6.30,127.7,G0/G1V,Cen
74646,HR 5682,15.302614,-41.061159,6.30,256.2,Am,Lup
76133,HR 5808,15.596998,38.373926,6.30,867.4,K2,CrB
76771,HR 5847,15.723572,-15.04323,6.30,399.7,K0III,Lib
77917,HR 5950,15.958288,39.695086,6.30,399.2,K0,Her
79110,HR 6043,16.194333,33.342764,6.30,504.1,K2III,CrB
79341,HR 6057,16.237113,5.901846,6.30,356.5,K2III,Her
79572,HR 6059,16.28915,-53.086385,6.30,240.7,A7V,Nor
81177,HR 6181,16.630003,13.687035,6.30,227.6,F5III-IV,Her
81400,HD 149989,16.678999,-51.47826,6.30,161.1,A9V,Ara
82531,HD 152424,16.917592,-42.090831,6.30,2329.7,O9Ia,Sco
82615,HR 6274,16.93579,-50.67479,6.30,644.6,B3Vnpe,Ara
83764,HR 6395,17.175177,52.408769,6.30,395.8,B9V,Dra
83893,HR 6382,17.204601,-38.822535,6.30,372.8,K1IIICN...,Sco
85290,HD 158042,17.483573,-43.973919,6.30,1863.8,B5III,Sco
86239,HR 6591,17.678109,31.287478,6.30,425.2,K0III,Her
86501,HR 6601,17.729728,-7.079608,6.30,1087.2,B1.5V,Oph
88021,HR 6708,18.030083,-36.377864,6.30,658.9,B7/B8II/III,Sgr
89196,HR 6847,18.259023,45.209318,6.30,74.4,G2V,Lyr
89448,HR 6839,18.311155,-42.288399,6.30,,B0.5Ia,CrA
89557,HR 6880,18.332243,51.347823,6.30,396.3,K1III:,Dra
90057,HR 6893,18.431835,-33.945718,6.30,888.7,B7III,Sgr
91594,HR 7034,18.730898,-6.818119,6.30,240.7,F7V,Sct
91671,HR 7047,18.744526,23.589883,6.30,143.4,F6V,Her
92397,HR 7093,18.886667,-51.931437,6.30,1393.8,B4III,Tel
93334,HD 176522,19.066947,-57.959962,6.30,691.0,G6II/III,Pav
93698,HR 7246,19.137378,-24.657369,6.30,718.4,B9.5V,Sgr
94772,HR 7346,19.342515,35.185957,6.30,939.9,B9V,Lyr
95376,HR 7403,19.46011,37.941197,6.30,2363.5,B3Ve,Lyr
95862,HR 7448,19.552796,60.158691,6.30,1009.8,K4III,Dra
97534,HR 7600,19.88368,47.80772,6.30,1639.0,B0.5IIIn,Cyg
99558,HR 7725,20.264057,-30.005278,6.30,997.4,K4III,Sgr
99598,3 Cap,20.273001,-12.337119,6.30,443.1,B9IV,Cap
99600,HR 7728,20.273225,-36.453575,6.30,1038.7,M4III,Sgr
101899,HR 7915,20.71471,-39.55883,6.30,916.2,K1III,Mic
102199,HR 7958,20.777388,46.531692,6.30,432.0,A3V,Cyg
105344,HR 8177,21.405786,-46.614706,6.30,329.5,A5m...,Ind
109147,HR 8460,22.181029,30.553001,6.30,423.0,A8IV,Peg
110573,HR 8568,22.472078,64.085155,6.30,367.3,K0,Cep
111298,HR 8608,22.618013,12.576816,6.30,1019.2,K5,Peg
111526,HR 8619,22.662271,-28.325661,6.30,366.9,K0/K1III,PsA
113233,HR 8746,23.006843,-25.626846,6.30,392.5,K1III,PsA
116606,76 Peg,23.712183,16.335719,6.30,367.7,K0,Peg
118166,HYG 118166,2.721517,3.237385,6.30,82.0,dF3,Cet
302,HR 9099,0.064342,66.712183,6.31,867.4,M4,Cep
5240,HR 318,1.119292,53.498185,6.31,1672.6,K0,Cas
6247,HR 375,1.338733,77.570682,6.31,412.3,G5III...,Cas
7229,HD 9496,1.555077,8.208738,6.31,482.5,K0,Psc
10092,HR 621,2.168817,53.843091,6.31,574.2,G8III,Per
13387,HR 859,2.880761,-9.441236,6.31,318.5,A7IV,Eri
18023,HR 1166,3.8616,68.507486,6.31,1022.4,B9IVp,Cam
18391,HR 1196,3.941751,71.821606,6.31,193.1,A5m,Cam
18670,HR 1237,4.010247,17.29666,6.31,642.0,A0V,Tau
19124,HR 1255,4.110171,54.008663,6.31,263.7,K0III-IV,Cam
19760,HD 26702,4.247797,37.54267,6.31,504.1,G5,Per
19827,48 Tau,4.262856,15.400695,6.31,148.1,F5Vvar,Tau
20138,HR 1349,4.32706,10.121437,6.31,688.1,K0,Tau
23242,HR 1613,5.011058,-2.066032,6.31,161.8,A8IV,Ori
26887,HR 1970,5.719255,-1.613248,6.31,526.1,K4III,Ori
30303,HR 2307,6.387355,-31.790312,6.31,343.7,G8III,CMa
31012,HD 46347,6.523333,-32.868548,6.31,1025.6,M4III,CMa
32657,HR 2528,6.828889,-24.076066,6.31,801.4,A0/A1V,CMa
32752,HR 2534,6.845084,-8.040996,6.31,325.8,A2p SrCrEu,Mon
33184,HR 2556,6.920888,45.826408,6.31,449.3,K0III-IV,Aur
33333,HR 2599,6.950026,-8.179295,6.31,1418.1,A2V+...,Mon
34338,HR 2673,7.13702,33.832388,6.31,623.6,K1,Gem
35366,HR 2794,7.320469,-33.727166,6.31,734.6,K2/K3III,Pup
37831,HD 63291,7.77595,-37.772569,6.31,574.2,K3III,Pup
37924,HR 3026,7.794035,-15.990688,6.31,1885.3,K3Iab/b,Pup
39188,HR 3155,8.035037,-37.050043,6.31,803.3,M3III,Pup
39785,HR 3189,8.149124,-11.33965,6.31,950.9,A0Vn,Mon
40651,HR 3265,8.320856,-10.165754,6.31,345.5,F3IIIp,Hya
41689,HR 3373,8.523527,-39.06411,6.31,1503.0,B5V,Vel
41808,HR 3332,8.548135,69.319901,6.31,545.4,K0,UMa
42130,HR 3352,8.613547,74.723677,6.31,246.9,A2m,Cam
